iter	Passed	Remaining
742	3057	1057
743	3060	1053
744	3064	1049
745	3070	1045
746	3074	1041
747	3077	1036
748	3081	1032
749	3085	1028
750	3088	1024
751	3092	1019
752	3096	1015
753	3099	1011
754	3103	1007
755	3106	1002
756	3110	998
757	3114	994
758	3118	990
759	3121	985
760	3125	981
761	3129	977
762	3133	973
763	3136	968
764	3140	964
765	3144	960
766	3148	956
767	3152	952
768	3155	947
769	3159	943
770	3163	939
771	3167	935
772	3171	931
773	3174	926
774	3178	922
775	3182	918
776	3185	914
777	3189	910
778	3193	905
779	3197	901
780	3200	897
781	3204	893
782	3208	889
783	3212	885
784	3215	880
785	3219	876
786	3223	872
787	3227	868
788	3230	864
789	3234	859
790	3237	855
791	3241	851
792	3245	847
793	3249	843
794	3252	838
795	3256	834
796	3261	830
797	3264	826
798	3268	822
799	3272	818
800	3277	814
801	3280	809
802	3284	805
803	3292	802
804	3297	798
805	3300	794
806	3304	790
807	3307	786
808	3311	781
809	3315	777
810	3318	773
811	3322	769
812	3326	765
813	3330	761
814	3334	756
815	3337	752
816	3342	748
817	3346	744
818	3349	740
819	3353	736
820	3358	732
821	3362	728
822	3366	723
823	3369	719
824	3373	715
825	3377	711
826	3380	707
827	3384	703
828	3388	698
829	3392	694
830	3395	690
831	3399	686
832	3402	682
833	3406	678
834	3410	673
835	3413	669
836	3417	665
837	3421	661
838	3426	657
839	3429	653
840	3433	649
841	3436	644
842	3440	640
843	3444	636
844	3447	632
845	3452	628
846	3456	624
847	3461	620
848	3465	616
849	3470	612
850	3475	608
851	3479	604
852	3483	600
853	3488	596
854	3491	592
855	3495	588
856	3499	583
857	3504	579
858	3507	575
859	3511	571
860	3515	567
861	3520	563
862	3524	559
863	3528	555
864	3532	551
865	3537	547
866	3541	543
867	3545	539
868	3549	535
869	3553	531
870	3557	526
871	3561	522
872	3565	518
873	3569	514
874	3573	510
875	3577	506
876	3580	502
877	3585	498
878	3590	494
879	3593	490
880	3597	485
881	3601	481
882	3605	477
883	3608	473
884	3612	469
885	3616	465
886	3620	461
887	3623	457
888	3627	452
889	3631	448
890	3635	444
891	3639	440
892	3642	436
893	3646	432
894	3650	428
895	3654	424
896	3657	420
897	3661	415
898	3666	411
899	3670	407
900	3674	403
901	3677	399
902	3681	395
903	3686	391
904	3689	387
905	3693	383
906	3697	379
907	3701	375
908	3704	370
909	3708	366
910	3712	362
911	3716	358
912	3720	354
913	3723	350
914	3727	346
915	3731	342
916	3735	338
917	3738	333
918	3742	329
